name,id,name_type,rec_class,mass,fall,year,rec_lat,rec_long,location_type
Harper Dry Lake 004,11835,Valid,Stony,37.0,Found,1999.0,35.05523,-117.30257,Exact
Harper Dry Lake 005,11836,Valid,Stony,24.0,Found,1999.0,35.05063,-117.30188,Exact
Harper Dry Lake 006,11837,Valid,Stony,26.0,Found,1999.0,35.04722,-117.30752,Exact
Harper Dry Lake 007,11838,Valid,Stony,166.7,Found,2000.0,35.04953,-117.26357,Exact
Harper Dry Lake 008,11839,Valid,Stony,12.5,Found,2000.0,35.05193,-117.26138,Exact
Harper Dry Lake 017,45964,Valid,Stony,16.4,Found,2007.0,35.04102,-117.27465,Exact
Harper Dry Lake 018,52983,Valid,Stony,39.7,Found,2007.0,35.0421,-117.27512,Exact
Harper Dry Lake 019,45965,Valid,Stony,118.7,Found,2007.0,35.04015,-117.27283,Exact
Harper Dry Lake 029,52112,Valid,Stony,11.56,Found,2008.0,35.04568,-117.26658,Exact
Harper Dry Lake 036,52853,Valid,Stony,85.5,Found,2010.0,35.03333,-117.28333,Exact
Harriman (Of),11840,Valid,Iron,30000.0,Found,1947.0,35.95,-84.56667,Exact
Harriman (Om),11841,Valid,Iron,13000.0,Found,1938.0,35.95,-84.56667,Exact
Harrison Township,11843,Valid,Stony,3263.0,Found,1945.0,38.33333,-101.71167,Exact
Harrisonville,11844,Valid,Stony,46500.0,Found,1933.0,38.65,-94.33333,Exact
Hart,56555,Valid,Stony,966.0,Found,2010.0,34.37718,-102.11672,Exact
Hart Camp,11846,Valid,Stony,1200.0,Found,1970.0,33.99833,-102.17667,Exact
Hartley,11847,Valid,Stony,2100.0,Found,1967.0,35.94167,-102.16,Exact
Hartsel,30725,Valid,Stony,490.0,Found,2000.0,38.83333,-105.8,Exact
Haskell,11849,Valid,Stony,36000.0,Found,1909.0,33.21333,-99.73167,Exact
Hasparos,11850,Valid,Iron,12880.0,Found,1935.0,34.0,-105.5,Exact
Hassayampa,11851,Valid,Stony,16000.0,Found,1963.0,33.75,-112.66667,Exact
Hat Creek,11853,Valid,Stony,8900.0,Found,1939.0,42.91667,-104.41667,Exact
Hatfield,11854,Valid,Iron,21.0,Found,1941.0,34.48333,-94.45,Exact
Haven,11858,Valid,Stony,6100.0,Found,1950.0,37.96417,-97.75583,Exact
Haviland (a),11860,Valid,Stony,1035.0,Found,1937.0,37.61667,-99.1,Exact
Haviland (b),11861,Valid,Stony,2092.0,Found,1976.0,37.59667,-99.125,Exact
Hawk Springs,11862,Valid,Stony,367.0,Found,1935.0,41.78333,-104.28333,Exact
Haxtun,11863,Valid,Stony,15500.0,Found,1975.0,40.45667,-102.57834,Exact
Hayden Creek,11864,Valid,Iron,270.0,Found,1895.0,45.0,-114.0,Exact
Hayes Center,11865,Valid,Stony,4500.0,Found,1941.0,40.51667,-101.03333,Exact
Hebron,11867,Valid,Stony,21820.0,Found,1965.0,40.16667,-97.6,Exact
Hendersonville,11873,Valid,Stony,6000.0,Found,1901.0,35.31667,-81.46667,Exact
Hereford,11876,Valid,Stony,2276.0,Found,1970.0,33.795,-102.24167,Exact
Hesston,11879,Valid,Stony,12900.0,Found,1951.0,38.11667,-97.43333,Exact
Hickiwan,11881,Valid,Stony,1928.0,Found,1974.0,32.35833,-112.40889,Exact
Hildreth,11885,Valid,Stony,3060.0,Found,1894.0,40.33333,-99.03333,Exact
Hill City,11886,Valid,Iron,11700.0,Found,1947.0,39.36667,-99.85,Exact
Hobbs,11891,Valid,Stony,2300.0,Found,1933.0,32.73333,-103.1,Exact
Hobbs (b),11892,Valid,Stony,1600.0,Found,1933.0,32.73333,-103.1,Exact
Holland's Store,11896,Valid,Iron,12200.0,Found,1887.0,34.36667,-85.43333,Exact
Holliday,11897,Valid,Iron,12.0,Found,1950.0,33.75,-98.83333,Exact
Holly,11898,Valid,Stony,299.0,Found,1937.0,38.06667,-102.1,Exact
Holyoke,11900,Valid,Stony,11200.0,Found,1933.0,40.56667,-102.3,Exact
Hope,11905,Valid,Iron,6800.0,Found,1955.0,33.68333,-93.6,Exact
Hopper,11907,Valid,Iron,1800.0,Found,1889.0,36.55,-79.78333,Exact
Horace,11908,Valid,Stony,19700.0,Found,1940.0,38.35,-101.78333,Exact
Horse Creek,11910,Valid,Iron,570.0,Found,1937.0,37.58333,-102.76667,Exact
Hot Springs,11912,Valid,Iron,4700.0,Found,1995.0,39.66667,-118.96667,Exact
Howe,11914,Valid,Stony,8630.0,Found,1938.0,33.5,-96.6,Exact
Hualapai Wash,11917,Valid,Stony,240.0,Found,2000.0,35.86333,-114.19333,Exact
Hualapai Wash 020,11918,Valid,Stony,60.9,Found,2003.0,35.83833,-114.16617,Exact
Hualapai Wash 021,11919,Valid,Stony,20.5,Found,1997.0,35.8895,-114.192,Exact
Hub,11921,Valid,Stony,6452.0,Found,1991.0,34.54,-102.59433,Exact
